Country_Name,Country_Code,Series,Series_Code,Access_to_Electricity_2020
Indonesia,IDN,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.9499969482422
Singapore,SGP,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Thailand,THA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Vietnam,VNM,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,86.4000015258789
Philippines,PHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.8423843383789
Malaysia,MYS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Laos,LAO,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Myanmar,MMR,Access to electricity (% of population),EG.ELC.ACCS.ZS,70.3971939086914
Brunei,BRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
East Timor,TLS,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.1233139038086
